Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,nfactor ,min_bound,avg_bound,max_bound
75,813,344,41.49130729,29.74784748,6.169741697,12.24713407,41.15313653,16.48499385,54.94444994,13.6703567,438.7452643,76,9.4,14.42,50.5,495.0546354,19,0.324032553,1,2.1,9.76,22.5,0.211412756,8,33732.43282,18900.89078,52633.3236,3680.9,,4.527552276,2048.76,6019.2,9170.64
76,812,361,40.67372836,29.35960591,6.16908867,12.24598522,41.283867,15.86231527,53.14262362,13.87192118,395.8845394,76,9.5,14.42,50.5,494.0546354,19,0.704527714,1,2.1,9.76,22.5,0.025295442,8,33027.06743,19184.48713,52211.55456,4107.1,,5.058004926,2728.32,8014.88,12342.4
77,793,360,41.43515678,29.20680958,6.167969735,12.18627995,41.51197982,16.8261034,53.39421875,14.0592686,498.9646028,76,9.5,14.48,50.5,437.7452643,20,0.445557551,1,2.1,9.76,22.5,0.648652667,8,32858.07932,19221.91875,52079.99807,4557.3,,5.746910467,2664.48,7825.92,12053.6
78,791,368,40.28238592,29.66624526,6.213021492,12.17453856,41.52591656,17.25587863,53.82628742,14.30847029,404.8305847,76,9.5,14.48,50,436.7452643,20,0.445557551,1,2.1,9.76,22.5,0.095625105,9,31863.36726,19808.07377,51671.44103,4557.4,,5.761567636,2657.76,7863.2,12023.2
79,757,380,40.91715445,29.82298547,6.195508587,12.19910172,41.71136063,17.18916777,54.4887147,14.45046235,451.6973091,76,9.6,14.48,50,318.4483822,20,0.349491422,1,2.3,9.76,22.5,0.547965506,9,30974.28592,20705.71158,51679.99751,4518,,5.968295905,2785.76,7504,11627.52
80,748,385,40.88539284,29.56283422,6.179946524,12.25433155,41.97058824,16.67740642,54.42190664,14.62165775,451.6973091,77,9.6,14.48,50,305.9878085,21,0.349491422,1,2.3,9.76,23,0.193441408,10,30582.27385,20952.43406,51534.7079,4015.1,,5.367780749,2752.64,7396.16,11489.28
81,782,354,41.29764119,29.4859335,6.171994885,12.26790281,42.06329923,16.47672634,53.18129244,14.77493606,451.6973091,77,9.6,14.48,50,404.8305847,21,0.445557551,1,2.3,9.76,25,0.105706378,10,32294.75541,18826.17752,51120.93293,3451.9,,4.414194373,2158.32,5791.8,9008.64
82,796,351,38.11098046,29.56909548,6.219472362,12.29211055,42.22550251,16.28982412,58.70920803,14.92713568,414.6182702,77,9.6,14.42,50,451.6973091,21,0.361402668,1,2.3,9.82,24.5,0.445557551,10,30336.34045,20606.93202,50943.27246,3743.1,,4.702386935,2196.96,5940.84,9169.92
83,785,372,37.56564074,29.45859873,6.242547771,12.25250955,42.41719745,15.79630573,57.22070215,15.14012739,414.6182702,77,9.7,14.42,50,450.6973091,21,0.595290308,1,2.3,9.82,24,0.00573976,10,29489.02798,21286.1012,50775.12919,4001.1,,5.096942675,2888.8,7840.64,12183.2
84,819,334,36.81628182,29.15873016,6.279120879,12.23108669,42.48290598,16.34481074,60.22213542,15.33089133,341.9389835,77,9.7,14.42,50,449.6973091,22,0.595290308,1,2.3,9.82,24,1,10,30152.53481,20114.19323,50266.72804,3770,,4.603174603,2260.44,6171.12,9533.16
85,825,327,39.21380912,29.20363636,6.265818182,12.24993939,42.37393939,16.65660606,54.16483716,15.44363636,337.6707591,77,9.7,14.42,50,448.6973091,22,0.30653016,1,2.4,9.82,24,0.47265876,10,32351.39252,17711.90175,50063.29428,4341.4,,5.26230303,3168,8270.88,12804
86,828,319,39.40514563,29.75845411,6.308695652,12.28642512,42.56219807,16.38019324,53.35034109,15.59541063,494.7181178,77,9.7,14.36,50,320.5133247,22,0.297645154,1,2.4,9.82,24,0.370200571,10,32627.46058,17018.75881,49646.21939,4051.7,,4.893357488,2384.64,6268.32,9637.92
